,Annotation
group02892,D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)
group02893,None Provided
group02894,None Provided
group02895,None Provided
group02896,None Provided
group02897,None Provided
group02898,Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)
group02899,None Provided
group02900,hypothetical protein
group02901,None Provided
group02902,None Provided
group02903,hypothetical protein
group02904,UDP-glucose dehydrogenase (EC 1.1.1.22)
group02905,None Provided
group02906,N-acylglucosamine 2-epimerase (EC 5.1.3.8)
group02907,None Provided
group02908,Ribosomal large subunit pseudouridine synthase D (EC 4.2.1.70)
group02909,4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)
group02910,Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)
group02911,None Provided
group02912,Chorismate synthase (EC 4.2.3.5)
group02913,None Provided
group02914,None Provided
group02915,None Provided
group02916,hypothetical protein
group02917,redox-active disulfide protein 2
group02918,"Type III restriction enzyme, res subunit:DEAD/DEAH box helicase, N-terminal"
group02919,hypothetical protein
group02920,NAD-dependent epimerase/dehydratase family protein
group02921,hypothetical protein
group02922,hypothetical protein
group02923,None Provided
group02924,None Provided
group02925,None Provided
group02926,UDP-glucose dehydrogenase (EC 1.1.1.22)
group02927,None Provided
group02928,None Provided
group02929,None Provided
group02930,None Provided
group02931,None Provided
group02932,Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)
group02933,None Provided
group02934,"Acetaldehyde dehydrogenase, acetylating, (EC 1.2.1.10) in gene cluster for degradation of phenols, cresols, catechol"
group02935,None Provided
group02936,None Provided
group02937,None Provided
group02938,"ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components"
group02939,None Provided
group02940,None Provided
group02941,None Provided
group02942,None Provided
group02943,hypothetical protein
group02944,None Provided
group02945,hypothetical protein
group02946,hypothetical protein
group02947,None Provided
group02948,None Provided
group02949,None Provided
group02950,hypothetical protein
group02951,Exonuclease SbcC
group02952,FIG00832862: hypothetical protein
group02953,hypothetical protein
group02954,None Provided
group02955,None Provided
group02956,None Provided
group02957,None Provided
group02958,None Provided
group02959,hypothetical protein
group02960,None Provided
group02961,None Provided
group02962,Peptidyl-tRNA hydrolase (EC 3.1.1.29)
group02963,FIG00792682: hypothetical protein
group02964,None Provided
group02965,None Provided
group02966,None Provided
group02967,None Provided
group02968,hypothetical protein
group02969,Indolepyruvate oxidoreductase subunit IorB II (EC 1.2.7.8)
group02970,None Provided
group02971,None Provided
group02972,None Provided
group02973,Cysteinyl-tRNA synthetase (EC 6.1.1.16)
group02974,hypothetical protein
group02975,possible chromosome condensation protein
group02976,None Provided
group02977,None Provided
group02978,Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)
group02979,None Provided
group02980,None Provided
group02981,None Provided
group02982,None Provided
group02983,FIG01121409: hypothetical protein
group02984,None Provided
group02985,None Provided
group02986,None Provided
group02987,None Provided
group02988,hypothetical protein
group02989,FIG01135854: hypothetical protein
group02990,Acetyltransferase (EC 2.3.1.-)
group02991,NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)
group02992,None Provided
group02993,None Provided
group02994,None Provided
group02995,hypothetical protein
group02996,None Provided
group02997,None Provided
group02998,None Provided
group02999,Mobilization protein MobA @ Conjugal transfer protein TraA
group03000,conjugative transfer protein
group03001,hypothetical protein
group03002,None Provided
group03003,hypothetical protein
group03004,Enoyl-CoA hydratase (EC 4.2.1.17)
group03005,None Provided
group03006,None Provided
group03007,None Provided
group03008,None Provided
group03009,hypothetical protein
group03010,None Provided
group03011,None Provided
group03012,None Provided
group03013,None Provided
group03014,None Provided
group03015,None Provided
group03016,None Provided
group03017,hypothetical protein
group03018,Endonuclease IV (EC 3.1.21.2)
group03019,hypothetical protein
group03020,None Provided
group03021,None Provided
group03022,hypothetical protein
group03023,None Provided
group03024,hypothetical protein
group03025,None Provided
group03026,hypothetical protein
group03027,None Provided
group03028,hypothetical protein
group03029,hypothetical protein
group03030,None Provided
group03031,None Provided
group03032,None Provided
group03033,None Provided
group03034,None Provided
group03035,None Provided
group03036,Uncharacterized homolog of gamma-carboxymuconolactone decarboxylase subunit
group03037,Putative membrane protein
group03038,None Provided
group03039,hypothetical protein
group03040,hypothetical protein
group03041,hypothetical protein
group03042,hypothetical protein
group03043,hypothetical protein
group03044,None Provided
group03045,None Provided
group03046,None Provided
group03047,None Provided
group03048,None Provided
group03049,None Provided
group03050,Iron-sulfur cluster assembly protein SufD
group03051,Sulfate permease
group03052,None Provided
group03053,None Provided
group03054,None Provided
group03055,None Provided
group03056,hypothetical protein
group03057,None Provided
group03058,None Provided
group03059,None Provided
group03060,None Provided
group03061,None Provided
group03062,None Provided
group03063,hypothetical protein
group03064,hypothetical protein
group03065,Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)
group03066,None Provided
group03067,hypothetical protein
group03068,Translation initiation factor 3
group03069,None Provided
group03070,High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)
group03071,Threonyl-tRNA synthetase (EC 6.1.1.3)
group03072,hypothetical protein
group03073,None Provided
group03074,None Provided
group03075,hypothetical protein
group03076,None Provided
group03077,None Provided
group03078,None Provided
group03079,None Provided
group03080,None Provided
group03081,hypothetical protein
group03082,None Provided
group03083,None Provided
group03084,Iron-sulfur cluster assembly ATPase protein SufC
group03085,Alanyl-tRNA synthetase (EC 6.1.1.7)
group03086,None Provided
group03087,None Provided
group03088,hypothetical protein
group03089,hypothetical protein
group03090,hypothetical protein
group03091,None Provided
group03092,"Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)"
group03093,TsaC protein (YrdC-Sua5 domains) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA
group03094,None Provided
group03095,None Provided
group03096,None Provided
group03097,None Provided
group03098,"Inner membrane protein translocase component YidC, long form"
group03099,None Provided
group03100,hypothetical protein
group03101,None Provided
group03102,None Provided
group03103,None Provided
group03104,None Provided
group03105,None Provided
group03106,"2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase (EC 3.7.1.-)"
group03107,hypothetical protein
group03108,Ribosomal protein S12p Asp88 (E. coli) methylthiotransferase
group03109,None Provided
group03110,hypothetical protein
group03111,None Provided
group03112,None Provided
group03113,None Provided
group03114,Formyltetrahydrofolate deformylase (EC 3.5.1.10)
group03115,None Provided
group03116,Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)
group03117,None Provided
group03118,Single-stranded DNA-binding protein
group03119,None Provided
group03120,None Provided
group03121,None Provided
group03122,hypothetical protein
group03123,Hemolysins and related proteins containing CBS domains
group03124,None Provided
group03125,None Provided
group03126,None Provided
group03127,None Provided
group03128,FIG01122970: hypothetical protein
group03129,None Provided
group03130,SSU ribosomal protein S6p
group03131,None Provided
group03132,None Provided
group03133,Agmatinase (EC 3.5.3.11)
group03134,None Provided
group03135,None Provided
group03136,Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)
group03137,hypothetical protein
group03138,None Provided
group03139,None Provided
group03140,Branched-chain amino acid aminotransferase (EC 2.6.1.42)
group03141,None Provided
group03142,None Provided
group03143,None Provided
group03144,Site-specific tyrosine recombinase XerC
group03145,None Provided
group03146,RNA polymerase sigma factor RpoD
group03147,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)
group03148,None Provided
group03149,None Provided
group03150,Translation elongation factor LepA
group03151,None Provided
group03152,DNA polymerase I (EC 2.7.7.7)
group03153,WhiB-like transcription regulator
group03154,None Provided
group03155,Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)
group03156,Cell division protein FtsW
group03157,None Provided
group03158,ABC transporter ATP-binding protein
group03159,None Provided
group03160,hypothetical protein
group03161,None Provided
group03162,None Provided
group03163,ATP phosphoribosyltransferase (EC 2.4.2.17)
group03164,None Provided
group03165,"Hypothetical radical SAM family enzyme in heat shock gene cluster, similarity with CPO of BS HemN-type"
group03166,None Provided
group03167,None Provided
group03168,None Provided
group03169,None Provided
group03170,hypothetical protein
group03171,None Provided
group03172,NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)
group03173,None Provided
group03174,"Transcriptional regulator, IclR family"
group03175,None Provided
group03176,Ribosomal large subunit pseudouridine synthase D (EC 4.2.1.70)
group03177,Glutamate synthase NADPH large chain (EC 1.4.1.13)
group03178,None Provided
group03179,16S rRNA processing protein RimM
group03180,None Provided
group03181,L-cysteine:1D-myo-inosityl 2-amino-2-deoxy-alpha-D-glucopyranoside ligase MshC
group03182,None Provided
group03183,None Provided
group03184,None Provided
group03185,"Transcriptional regulator, AsnC family"
group03186,Iron-sulfur cluster assembly ATPase protein SufC
group03187,None Provided
group03188,None Provided
group03189,None Provided
group03190,hypothetical protein
group03191,hypothetical protein
group03192,None Provided
group03193,None Provided
group03194,Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)
group03195,None Provided
group03196,None Provided
group03197,None Provided
group03198,None Provided
group03199,None Provided
group03200,None Provided
group03201,hypothetical protein
group03202,None Provided
group03203,None Provided
group03204,None Provided
group03205,None Provided
group03206,KH domain RNA binding protein YlqC
group03207,hypothetical protein
group03208,None Provided
group03209,None Provided
group03210,None Provided
group03211,None Provided
group03212,None Provided
group03213,UPF0246 protein YaaA
group03214,Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) / 2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)
group03215,None Provided
group03216,Alpha-xylosidase (EC 3.2.1.-)
group03217,None Provided
group03218,hypothetical protein
group03219,hypothetical protein
group03220,None Provided
group03221,None Provided
group03222,Thiol:disulfide oxidoreductase related to ResA
group03223,hypothetical protein
group03224,Phosphatidate cytidylyltransferase (EC 2.7.7.41)
group03225,None Provided
group03226,None Provided
group03227,hypothetical protein
group03228,N-methylhydantoinase B (EC 3.5.2.14)
group03229,None Provided
group03230,None Provided
group03231,Inosine-5-monophosphate dehydrogenase (EC 1.1.1.205)
group03232,Aspartate aminotransferase (EC 2.6.1.1)
group03233,None Provided
group03234,None Provided
group03235,None Provided
group03236,Glycine dehydrogenase decarboxylating (glycine cleavage system P2 protein) (EC 1.4.4.2)
group03237,None Provided
group03238,None Provided
group03239,hypothetical protein
group03240,"membrane protein, putative"
group03241,UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)
group03242,None Provided
group03243,Nitroreductase family protein
group03244,None Provided
group03245,None Provided
group03246,hypothetical protein
group03247,Methionyl-tRNA synthetase (EC 6.1.1.10)
group03248,None Provided
group03249,hypothetical protein
group03250,None Provided
group03251,Carboxynorspermidine dehydrogenase
group03252,L-arabonate dehydratase (EC 4.2.1.25)
group03253,hypothetical protein
group03254,None Provided
group03255,None Provided
group03256,"Mg(2+) transport ATPase, P-type (EC 3.6.3.2)"
group03257,None Provided
group03258,Alcohol dehydrogenase (EC 1.1.1.1)
group03259,None Provided
group03260,None Provided
group03261,hypothetical protein
group03262,None Provided
group03263,None Provided
group03264,5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)
group03265,None Provided
group03266,hypothetical protein
group03267,None Provided
group03268,hypothetical protein
group03269,None Provided
group03270,Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)
group03271,hypothetical protein
group03272,hypothetical protein
group03273,None Provided
group03274,None Provided
group03275,None Provided
group03276,None Provided
